Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.617      |
|    explained_variance   | 0.706       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.03        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0166     |
|    value_loss           | 38.6        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 92.3         |
|    ep_rew_mean          | 92.3         |
| time/                   |              |
|    fps                  | 1608         |
|    iterations           | 7            |
|    time_elapsed         | 8            |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0058749765 |
|    clip_fraction        | 0.0631       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.598       |
|    explained_variance   | 0.576        |
|    learning_rate        | 0.0003       |
|    loss                 | 19.2         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.0124      |
|    value_loss           | 60.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 108         |
| time/                   |             |
|    fps                  | 1588        |
|    iterations           | 8           |
|    time_elapsed         | 10          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.005144346 |
|    clip_fraction        | 0.0396      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.588      |
|    explained_variance   | 0.546       |
|    learning_rate        | 0.0003      |
|    loss                 | 23.4        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0084     |
|    value_loss           | 63          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 123          |
|    ep_rew_mean          | 123          |
| time/                   |              |
|    fps                  | 1562         |
|    iterations           | 9            |
|    time_elapsed         | 11           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0033722378 |
|    clip_fraction        | 0.0336       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.57        |
|    explained_variance   | 0.547        |
|    learning_rate        | 0.0003       |
|    loss                 | 38.2         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00988     |
|    value_loss           | 67.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 140         |
|    ep_rew_mean          | 140         |
| time/                   |             |
|    fps                  | 1530        |
|    iterations           | 10          |
|    time_elapsed         | 13          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.003990354 |
|    clip_fraction        | 0.0416      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.584      |
|    explained_variance   | 0.787       |
|    learning_rate        | 0.0003      |
|    loss                 | 9.81        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00353    |
|    value_loss           | 31.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 162         |
|    ep_rew_mean          | 162         |
| time/                   |             |
|    fps                  | 1523        |
|    iterations           | 11          |
|    time_elapsed         | 14          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.009706463 |
|    clip_fraction        | 0.0999      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.557      |
|    explained_variance   | 0.158       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.733       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00989    |
|    value_loss           | 25.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 179         |
|    ep_rew_mean          | 179         |
| time/                   |             |
|    fps                  | 1506        |
|    iterations           | 12          |
|    time_elapsed         | 16          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.007097845 |
|    clip_fraction        | 0.0325      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.55       |
|    explained_variance   | 0.668       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.09        |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00773    |
|    value_loss           | 19          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 196         |
|    ep_rew_mean          | 196         |
| time/                   |             |
|    fps                  | 1484        |
|    iterations           | 13          |
|    time_elapsed         | 17          |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.010410671 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.519      |
|    explained_variance   | 0.189       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.302       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00686    |
|    value_loss           | 4.56        |
-----------------------------------------
